LabVIEW Measurement,,
Writer_Version,2,
Reader_Version,2,
Separator,Tab,
Decimal_Separator,.,
Multi_Headings,Yes,
X_Columns,Multi,
Time_Pref,Absolute,
Operator,RHAYESHUER,
Date,2/19/2020,
Time,17:55.1,
***End_of_Header***,,
,,
Channels,1,
Samples,7000,
Date,2/19/2020,
Time,17:55.1,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.00E+00,
Delta_X,0.001,
***End_of_Header***,,
X_Value,Voltage,Comment
0,5.013884,160.0 cm
0.001,5.01224,
0.002,5.012569,
0.003,5.014541,
0.004,5.013884,
0.005,5.012569,
0.006,5.010925,
0.007,5.010267,
0.008,5.011253,
0.009,5.009609,
0.01,5.009609,
0.011,5.009938,
0.012,5.011253,
0.013,5.009938,
0.014,5.009281,
0.015,5.007308,
0.016,5.009609,
0.017,5.008623,
0.018,5.008623,
0.019,5.008294,
0.02,5.009281,
0.021,5.010925,
0.022,5.010267,
0.023,5.008294,
0.024,5.008294,
0.025,5.009938,
0.026,5.011582,
0.027,5.010925,
0.028,5.011911,
0.029,5.013555,
0.03,5.014541,
0.031,5.013555,
0.032,5.010925,
0.033,5.012897,
0.034,5.012569,
0.035,5.012569,
0.036,5.011911,
0.037,5.01224,
0.038,5.013226,
0.039,5.014541,
0.04,5.011582,
0.041,5.011253,
0.042,5.012897,
0.043,5.01224,
0.044,5.011582,
0.045,5.010267,
0.046,5.010596,
0.047,5.011582,
0.048,5.009281,
0.049,5.007965,
0.05,5.007308,
0.051,5.010267,
0.052,5.010596,
0.053,5.008952,
0.054,5.009938,
0.055,5.010267,
0.056,5.010925,
0.057,5.009938,
0.058,5.008294,
0.059,5.009281,
0.06,5.010596,
0.061,5.010925,
0.062,5.011582,
0.063,5.011253,
0.064,5.011911,
0.065,5.012897,
0.066,5.013555,
0.067,5.012897,
0.068,5.013226,
0.069,5.014213,
0.07,5.014541,
0.071,5.013226,
0.072,5.014541,
0.073,5.013884,
0.074,5.013555,
0.075,5.013226,
0.076,5.012897,
0.077,5.014541,
0.078,5.015199,
0.079,5.013226,
0.08,5.012897,
0.081,5.013226,
0.082,5.01224,
0.083,5.01224,
0.084,5.010596,
0.085,5.010596,
0.086,5.011911,
0.087,5.011911,
0.088,5.011911,
0.089,5.009938,
0.09,5.009281,
0.091,5.010596,
0.092,5.011253,
0.093,5.009938,
0.094,5.010267,
0.095,5.011253,
0.096,5.012897,
0.097,5.011253,
0.098,5.008952,
0.099,5.009938,
0.1,5.011253,
0.101,5.010925,
0.102,5.010596,
0.103,5.011911,
0.104,5.014541,
0.105,5.013884,
0.106,5.012569,
0.107,5.011911,
0.108,5.012897,
0.109,5.014213,
0.11,5.013884,
0.111,5.013884,
0.112,5.012897,
0.113,5.013884,
0.114,5.014541,
0.115,5.011911,
0.116,5.010596,
0.117,5.011253,
0.118,5.011911,
0.119,5.012569,
0.12,5.011582,
0.121,5.010267,
0.122,5.010596,
0.123,5.009609,
0.124,5.008952,
0.125,5.008294,
0.126,5.009281,
0.127,5.009938,
0.128,5.009938,
0.129,5.008623,
0.13,5.009938,
0.131,5.009938,
0.132,5.009609,
0.133,5.008294,
0.134,5.007965,
0.135,5.008623,
0.136,5.010267,
0.137,5.010267,
0.138,5.009609,
0.139,5.010925,
0.14,5.010925,
0.141,5.011911,
0.142,5.01224,
0.143,5.010925,
